Kommune	Region	Aar	FelteWpt	Jaktdager	Areal
Alta	Vest	2000	1839	NA	3849
Alta	Vest	2001	3691	664	3849
Alta	Vest	2002	3086	604	3849
Alta	Vest	2003	3035	1359	3849
Alta	Vest	2004	4994	3381	3849
Alta	Vest	2005	5908	3829	3849
Alta	Vest	2006	7124	4440	3849
Alta	Vest	2007	4134	3059	3849
Alta	Vest	2008	1143	2352	3849
Alta	Vest	2009	966	1866	3849
Alta	Vest	2010	368	1768	3849
Alta	Vest	2011	1194	2069	3849
Alta	Vest	2012	237	1285	3849
Alta	Vest	2013	702	1791	3849
Alta	Vest	2014	682	862	3849
Alta	Vest	2015	2448	3453	3849
Alta	Vest	2016	986	3049	3849
Alta	Vest	2017	250	1599	3849
Alta	Vest	2018	535	2154	3849
Alta	Vest	2019	528	1704	3849
Alta	Vest	2020	364	1739	3849
Alta	Vest	2021	373	1758	3849
Alta	Vest	2022	422	1976	3849
Alta	Vest	2023	873	2614	3849
Alta	Vest	2024	681	3161	3849
Berlevag	Ost	2000	83	NA	1122
Berlevag	Ost	2001	100	77	1122
Berlevag	Ost	2002	150	131	1122
Berlevag	Ost	2003	129	235	1122
Berlevag	Ost	2004	163	681	1122
Berlevag	Ost	2005	71	363	1122
Berlevag	Ost	2006	152	170	1122
Berlevag	Ost	2007	97	72	1122
Berlevag	Ost	2008	39	356	1122
Berlevag	Ost	2009	48	224	1122
Berlevag	Ost	2010	3	261	1122
Berlevag	Ost	2011	21	233	1122
Berlevag	Ost	2012	14	255	1122
Berlevag	Ost	2013	4	180	1122
Berlevag	Ost	2014	22	236	1122
Berlevag	Ost	2015	29	325	1122
Berlevag	Ost	2016	45	316	1122
Berlevag	Ost	2017	16	221	1122
Berlevag	Ost	2018	8	139	1122
Berlevag	Ost	2019	9	161	1122
Berlevag	Ost	2020	7	223	1122
Berlevag	Ost	2021	8	169	1122
Berlevag	Ost	2022	7	249	1122
Berlevag	Ost	2023	39	314	1122
Berlevag	Ost	2024	44	375	1122
Batsfjord	Ost	2000	350	NA	1435
Batsfjord	Ost	2001	177	109	1435
Batsfjord	Ost	2002	339	139	1435
Batsfjord	Ost	2003	194	141	1435
Batsfjord	Ost	2004	106	238	1435
Batsfjord	Ost	2005	325	650	1435
Batsfjord	Ost	2006	261	367	1435
Batsfjord	Ost	2007	459	450	1435
Batsfjord	Ost	2008	71	392	1435
Batsfjord	Ost	2009	134	345	1435
Batsfjord	Ost	2010	43	566	1435
Batsfjord	Ost	2011	19	670	1435
Batsfjord	Ost	2012	12	334	1435
Batsfjord	Ost	2013	19	365	1435
Batsfjord	Ost	2014	35	650	1435
Batsfjord	Ost	2015	43	672	1435
Batsfjord	Ost	2016	109	681	1435
Batsfjord	Ost	2017	19	423	1435
Batsfjord	Ost	2018	20	342	1435
Batsfjord	Ost	2019	28	328	1435
Batsfjord	Ost	2020	20	303	1435
Batsfjord	Ost	2021	6	224	1435
