"","year","seas","rufocanus","rutilus"
"1",2000,"FALL",7,7
"2",2000,"SPRING",2,3
"3",2001,"FALL",51,23
"4",2001,"SPRING",13,9
"5",2002,"FALL",66,28
"6",2002,"SPRING",42,13
"7",2003,"FALL",20,23
"8",2003,"SPRING",6,6
"9",2004,"FALL",2,1
"10",2004,"SPRING",1,2
"11",2005,"FALL",17,8
"12",2005,"SPRING",4,6
"13",2006,"FALL",30,19
"14",2006,"SPRING",17,9
"15",2007,"FALL",28,35
"16",2007,"SPRING",11,8
"17",2008,"FALL",1,1
"18",2008,"SPRING",3,5
"19",2009,"FALL",6,3
"20",2009,"SPRING",1,3
"21",2010,"FALL",54,25
"22",2010,"SPRING",13,9
"23",2011,"FALL",120,23
"24",2011,"SPRING",50,14
"25",2012,"FALL",15,15
"26",2012,"SPRING",5,1
"27",2013,"FALL",15,10
"28",2013,"SPRING",6,3
"29",2014,"FALL",73,17
"30",2014,"SPRING",15,3
"31",2015,"FALL",74,16
"32",2015,"SPRING",33,11
"33",2016,"FALL",33,32
"34",2016,"SPRING",18,5
"35",2017,"FALL",5,2
"36",2017,"SPRING",0,0
"37",2018,"FALL",44,19
"38",2018,"SPRING",15,4
"39",2019,"FALL",35,24
"40",2019,"SPRING",17,12
"41",2020,"FALL",6,9
"42",2020,"SPRING",1,4
"43",2021,"FALL",16,2
"44",2021,"SPRING",2,2
"45",2022,"FALL",78,16
"46",2022,"SPRING",35,1
"47",2023,"FALL",85,22
"48",2023,"SPRING",38,3
"49",2024,"FALL",0,0
"50",2024,"SPRING",0,3
