"","year","seas","rufocanus","rutilus"
"1",2000,"FALL",2,1
"2",2000,"SPRING",0,1
"3",2001,"FALL",21,7
"4",2001,"SPRING",8,2
"5",2002,"FALL",52,13
"6",2002,"SPRING",54,1
"7",2003,"FALL",19,17
"8",2003,"SPRING",15,7
"9",2004,"FALL",2,1
"10",2004,"SPRING",0,5
"11",2005,"FALL",2,3
"12",2005,"SPRING",2,3
"13",2006,"FALL",31,8
"14",2006,"SPRING",2,0
"15",2007,"FALL",62,21
"16",2007,"SPRING",20,7
"17",2008,"FALL",0,1
"18",2008,"SPRING",1,0
"19",2009,"FALL",0,3
"20",2009,"SPRING",0,0
"21",2010,"FALL",9,35
"22",2010,"SPRING",8,6
"23",2011,"FALL",103,42
"24",2011,"SPRING",25,32
"25",2012,"FALL",0,0
"26",2012,"SPRING",22,0
"27",2013,"FALL",5,2
"28",2013,"SPRING",0,0
"29",2014,"FALL",47,21
"30",2014,"SPRING",11,1
"31",2015,"FALL",86,2
"32",2015,"SPRING",52,8
"33",2016,"FALL",20,0
"34",2016,"SPRING",44,0
"35",2017,"FALL",3,1
"36",2017,"SPRING",0,0
"37",2018,"FALL",50,3
"38",2018,"SPRING",12,2
"39",2019,"FALL",87,7
"40",2019,"SPRING",43,1
"41",2020,"FALL",5,10
"42",2020,"SPRING",3,5
"43",2021,"FALL",0,8
"44",2021,"SPRING",1,1
"45",2022,"FALL",21,53
"46",2022,"SPRING",10,6
"47",2023,"FALL",104,18
"48",2023,"SPRING",31,15
"49",2024,"FALL",0,0
"50",2024,"SPRING",4,1
