rr dimX dimY
1 11.6000003814697 914 231
2 11.6000003814697 914 231
3 11.8000001907349 911 232
4 11.8000001907349 911 232
5 11.8999996185303 914 233
6 11.8999996185303 914 233
7 12 910 234
8 12 910 234
9 12.3999996185303 914 235
10 12.3999996185303 914 235
11 12.3999996185303 911 236
12 12.3999996185303 911 236
13 8.39999961853027 838 152
14 8.39999961853027 838 152
15 8.69999980926514 839 149
16 8.69999980926514 839 149
17 11.6999998092651 976 275
18 11.8999996185303 979 274
19 11.8000001907349 979 273
20 10.8999996185303 1000 318
21 10.8000001907349 997 320
22 10.8999996185303 1003 309
23 10.8000001907349 999 309
24 9.89999961853027 887 319
25 10 886 319
26 10 886 323
27 10.1000003814697 885 323
28 10 885 319
29 10.1999998092651 884 319
30 10.1999998092651 883 318
31 10.1000003814697 883 323
32 10.1000003814697 883 323
33 10.1000003814697 882 323
34 10.1999998092651 882 318
35 10.1000003814697 882 319
36 10.1000003814697 878 320
37 10.1000003814697 878 320
38 10.1000003814697 882 320
39 10.1000003814697 882 321
40 10.1000003814697 878 322
41 10.1000003814697 878 322
42 10 882 322
43 10.1000003814697 882 323
44 10 879 323
45 10 880 324
46 10 886 323
47 10 886 323
48 9.89999961853027 886 324
49 10 881 325
50 10 882 325
51 10 882 326
52 10.1999998092651 882 318
53 10.1000003814697 882 317
54 10.1999998092651 878 317
55 10.1999998092651 877 317
56 10.1999998092651 877 316
57 10.1000003814697 881 315
58 10 882 315
59 10.1999998092651 877 315
60 10.1999998092651 877 314
61 10.1000003814697 881 313
62 10.1000003814697 881 313
63 10.1999998092651 878 313
64 10.1000003814697 878 312
65 10.3000001907349 880 311
66 10.1999998092651 878 311
67 10.3000001907349 879 310
68 10.1999998092651 878 310
69 10.1000003814697 884 317
70 10.1000003814697 885 318
71 10.1999998092651 883 316
72 10 882 315
73 8 913 357
74 8.10000038146973 913 356
75 8 917 356
76 8.19999980926514 917 355
77 13.3000001907349 906 268
78 13.3999996185303 907 268
79 13.3000001907349 904 269
80 13.1999998092651 903 270
81 13.3000001907349 907 270
82 13.3000001907349 907 270
83 13.3000001907349 904 271
84 13.3000001907349 905 272
85 13.1999998092651 906 273
86 13.1999998092651 906 274
87 13.1000003814697 910 274
88 13.1000003814697 909 274
89 13.1999998092651 906 275
90 13 906 276
91 12.8999996185303 909 276
92 12.8999996185303 909 276
93 12 907 293
94 11.8999996185303 907 294
95 12 904 294
96 11.8999996185303 904 295
97 11.8999996185303 908 295
98 11.8999996185303 908 296
99 11.8999996185303 904 296
100 12 904 297
101 11.8000001907349 907 297
102 11.6999998092651 907 298
103 11.6000003814697 902 299
104 11.6000003814697 902 299
105 11.6999998092651 907 299
106 11.6000003814697 907 300
107 11.8000001907349 903 300
108 11.6999998092651 903 301
109 11.5 906 301
110 11.3999996185303 906 302
111 11.3999996185303 900 303
112 11.3999996185303 900 303
113 11.1999998092651 905 303
114 11.1999998092651 905 304
115 11.1999998092651 901 305
116 11.1999998092651 902 305
117 11 905 305
118 10.8999996185303 905 306
119 10.8999996185303 902 307
120 10.8999996185303 902 307
121 10.8999996185303 905 307
122 11.6999998092651 903 301
123 11.6999998092651 903 301
124 11.6000003814697 900 300
125 11.6000003814697 900 300
126 11.6999998092651 900 299
127 12.1000003814697 900 293
128 11.6000003814697 901 298
129 12.1000003814697 902 293
130 11.6999998092651 900 299
131 12.1000003814697 899 294
132 11 938 278
133 11 937 278
134 11.3000001907349 937 282
135 11.3000001907349 937 282
136 10.1999998092651 917 181
137 10.1999998092651 917 182
138 10.3999996185303 921 182
139 10.3999996185303 921 183
140 10 917 185
141 9.5 917 186
142 9.60000038146973 921 186
143 9.5 921 187
144 9.5 918 189
145 9.5 917 188
146 9.5 918 192
147 9.60000038146973 917 192
148 11.3000001907349 1091 150
149 11 1087 150
150 11.1000003814697 1089 150
151 11 1086 150
152 11.1999998092651 981 130
153 11.1999998092651 981 130
154 11.6999998092651 986 130
155 11.6999998092651 986 130
156 11.1000003814697 986 131
157 10.8999996185303 985 132
158 11.3000001907349 980 131
159 10.8999996185303 979 132
160 11 983 132
