region	plot	year	season	Llem	Moec	Mruf	Mrut	rodsp
1	bekkarfjord	bfg1	2004	fall	0	0	1	0	0
2	bekkarfjord	bfg2	2004	fall	0	0	1	0	0
3	bekkarfjord	bfg3	2004	fall	0	0	5	0	0
4	bekkarfjord	bfg4	2004	fall	0	0	0	0	0
5	bekkarfjord	bfg5	2004	fall	0	0	11	0	0
6	bekkarfjord	bfg6	2004	fall	0	0	0	0	0
7	bekkarfjord	bfg7	2004	fall	0	0	0	0	0
8	bekkarfjord	bfg8	2004	fall	0	0	2	0	0
9	bekkarfjord	bfl1	2004	fall	0	0	2	0	0
10	bekkarfjord	bfl10	2004	fall	0	0	5	0	0
11	bekkarfjord	bfl2	2004	fall	0	0	0	0	0
12	bekkarfjord	bfl3	2004	fall	0	0	0	0	0
13	bekkarfjord	bfl4	2004	fall	0	0	0	0	0
14	bekkarfjord	bfl5	2004	fall	0	0	2	0	0
15	bekkarfjord	bfl6	2004	fall	0	0	1	0	0
16	bekkarfjord	bfl7	2004	fall	0	0	2	0	0
17	bekkarfjord	bfl8	2004	fall	0	0	5	0	0
18	bekkarfjord	bfl9	2004	fall	0	0	3	0	0
19	nordkynn	hog1	2004	fall	0	0	12	0	0
20	nordkynn	hog10	2004	fall	0	0	0	0	0
21	nordkynn	hog2	2004	fall	0	0	3	0	0
22	nordkynn	hog3	2004	fall	0	0	9	0	0
23	nordkynn	hog4	2004	fall	0	0	6	0	0
24	nordkynn	hog5	2004	fall	0	0	10	0	0
25	nordkynn	hog6	2004	fall	0	0	1	0	0
26	nordkynn	hog7	2004	fall	0	0	1	0	0
27	nordkynn	hog8	2004	fall	0	0	1	0	0
28	nordkynn	hog9	2004	fall	0	0	1	0	0
29	nordkynn	hol1	2004	fall	0	0	1	0	0
30	nordkynn	hol10	2004	fall	1	0	1	0	0
31	nordkynn	hol11	2004	fall	0	0	0	0	0
32	nordkynn	hol12	2004	fall	0	0	5	0	0
33	nordkynn	hol13	2004	fall	0	1	5	0	0
34	nordkynn	hol14	2004	fall	0	0	4	0	0
35	nordkynn	hol2	2004	fall	0	0	2	0	0
36	nordkynn	hol3	2004	fall	1	0	9	0	0
37	nordkynn	hol4	2004	fall	0	0	4	0	0
38	nordkynn	hol5	2004	fall	0	1	0	0	0
39	nordkynn	hol6	2004	fall	0	0	5	0	0
40	nordkynn	hol7	2004	fall	0	0	6	0	0
41	nordkynn	hol8	2004	fall	0	0	4	0	0
42	nordkynn	hol9	2004	fall	0	0	4	0	0
43	ifjordfjellet	ifg1	2004	fall	0	0	0	0	0
44	ifjordfjellet	ifg2	2004	fall	0	0	1	0	0
45	ifjordfjellet	ifg3	2004	fall	0	0	7	0	0
46	ifjordfjellet	ifg4	2004	fall	0	0	1	0	0
47	ifjordfjellet	ifg5	2004	fall	0	0	0	0	0
48	ifjordfjellet	ifg6	2004	fall	0	0	10	0	0
49	ifjordfjellet	ifg7	2004	fall	0	0	7	0	0
50	ifjordfjellet	ifg8	2004	fall	0	0	6	0	0
51	ifjordfjellet	ifl1	2004	fall	0	0	1	0	0
52	ifjordfjellet	ifl10	2004	fall	0	0	0	0	0
53	ifjordfjellet	ifl2	2004	fall	0	0	3	0	0
54	ifjordfjellet	ifl3	2004	fall	0	0	0	0	0
55	ifjordfjellet	ifl4	2004	fall	0	0	0	0	0
56	ifjordfjellet	ifl5	2004	fall	0	0	4	0	0
