area	region	plot	habtiat	year	season	session	Mruf	Mrut	rodsp	Moec	Llem
varanger	bekkarfjord	bfg1	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfg2	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfg3	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfg4	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfg5	greysided	2004	spring	2004spring	1	0	0	0	0
varanger	bekkarfjord	bfg6	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfg7	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfg8	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl1	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl10	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl2	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl3	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl4	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl5	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl6	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl7	lemming	2004	spring	2004spring	1	0	0	0	0
varanger	bekkarfjord	bfl8	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	bekkarfjord	bfl9	lemming	2004	spring	2004spring	1	0	0	0	0
varanger	ifjordfjellet	ifg1	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifg2	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifg3	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifg4	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifg5	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifg6	greysided	2004	spring	2004spring	5	0	0	0	0
varanger	ifjordfjellet	ifg7	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifg8	greysided	2004	spring	2004spring	1	0	0	0	0
varanger	ifjordfjellet	ifl1	lemming	2004	spring	2004spring	1	0	0	0	0
varanger	ifjordfjellet	ifl10	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifl2	lemming	2004	spring	2004spring	0	0	0	2	0
varanger	ifjordfjellet	ifl3	lemming	2004	spring	2004spring	0	0	0	1	0
varanger	ifjordfjellet	ifl4	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifl5	lemming	2004	spring	2004spring	1	0	0	0	0
varanger	ifjordfjellet	ifl6	lemming	2004	spring	2004spring	1	0	0	0	0
varanger	ifjordfjellet	ifl7	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifl8	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	ifjordfjellet	ifl9	lemming	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k1	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k10	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k11	NA	2004	spring	2004spring	1	0	0	0	0
varanger	komagdalen	k12	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k13	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k14	NA	2004	spring	2004spring	1	0	0	0	0
varanger	komagdalen	k2	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k3	NA	2004	spring	2004spring	1	0	0	0	0
varanger	komagdalen	k4	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k5	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k6	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k7	NA	2004	spring	2004spring	0	0	0	0	0
varanger	komagdalen	k8	NA	2004	spring	2004spring	1	0	0	0	0
varanger	komagdalen	k9	NA	2004	spring	2004spring	1	0	0	0	0
varanger	nordkynn	hog1	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	nordkynn	hog10	greysided	2004	spring	2004spring	0	0	0	0	0
varanger	nordkynn	hog2	greysided	2004	spring	2004spring	3	0	0	0	0
varanger	nordkynn	hog3	greysided	2004	spring	2004spring	1	0	0	0	0
varanger	nordkynn	hog4	greysided	2004	spring	2004spring	1	0	0	0	0
varanger	nordkynn	hog5	greysided	2004	spring	2004spring	0	0	0	0	0
